140,20872
1623,20937
3523,20053
774,19721
5721,20669
3687,21064
3240,20857
5521,20781
1147,20068
3152,20595
4299,19723
34,20634
25,19092
2926,20440
3080,19037
5817,19607
1536,21029
956,19585
5651,21181
3584,20334
23,19938
2761,20486
4937,21165
713,19465
3173,20888
1336,20104
520,19996
5536,21051
3593,21087
5262,20302
3757,20773
363,18886
2360,21128
4005,19240
3025,21026
3465,19150
172,20878
3760,19966
1745,21174
5769,20683
124,21073
3483,20443
4275,20746
4545,20091
4114,19572
63,20806
2018,20983
4501,21187
4020,18952
1575,19809
3088,20088
4392,19518
1458,21137
1531,20867
4433,19335
2631,19087
3109,20299
2933,19093
230,21057
5632,19476
4117,21040
2312,19020
704,19499
1023,20348
2696,20210
1676,19612
3391,20559
2938,21199
3458,20457
5433,19682
3184,21061
4226,19990
3876,20514
1720,20754
4719,19939
4333,20721
2024,20664
3848,20997
4538,20282
566,19551
5019,18907
907,20717
3005,19205
3136,19861
4079,20768
2698,19536
3005,20759
1773,20681
2606,19900
4995,19220
3635,19264
1604,19832
168,20057
160,18878
7,20980
2306,19630
331,20826
3120,20531
1567,21137
2286,20225
5770,19802
5171,20714
5893,20732
4467,19760
3269,19991
5134,20048
3396,19188
5224,19201
4902,20334
1626,20014
4148,20840
4511,21145
5621,20027
3204,19271
5385,20458
402,20102
5205,20660
1622,19176
1654,19628
5490,19314
4930,21108
5780,20223
636,18939
1255,20077
2403,21240
4109,18966
3066,19918
4536,20999
2456,20957
4297,20646
5866,19435
1366,20138
3893,19082
732,19970
10,19214
653,19258
5607,19752
5121,21110
2368,19009
3659,20882
993,19021
2992,20281
4080,19085
4167,20219
5829,19576
5259,19715
2750,20983
4041,20535
1009,19178
4207,19910
1957,19417
5015,19667
4154,19055
3643,19717
3297,20632
819,18904
1784,19339
4330,21100
4584,19677
1913,19630
5711,21138
2563,21038
4838,18889
4584,19409
1291,19148
3226,19182
527,20044
4722,20907
5157,20910
5306,19478
4951,20574
744,20817
132,20450
4807,21073
4542,19022
5290,20562
3425,19830
3885,20434
4311,19724
3275,21058
3248,20959
2391,19673
846,19216
1029,18912
3181,19907
2965,19332
1534,20861
4292,20389
205,19910
3976,19524
2935,19325
1881,19339
5688,19674
20,19051
953,20398
1898,19181
4917,19999
1816,19175
962,19125
2297,20382
5744,20864
128,19821
3243,18930
5841,20432
3825,20228
244,19816
5291,19548
4513,21219
61,19019
3943,20820
735,20203
1910,20552
2062,19685
4822,20887
2945,19763
358,19130
1080,20812
4415,21019
3130,20810
1512,19997
5673,20457
1598,19851
311,20148
3431,19959
2394,19756
4253,19954
1876,19385
2507,19909
392,20821
2329,19850
4237,19817
1111,19900
67,20664
5026,20637
5258,19388
5845,19692
2072,19983
5654,19926
3829,19301
911,19022
1420,18873
5399,19042
5641,19381
5438,19825
5942,19961
1231,20778
3849,20378
4158,20117
1832,19573
5512,20689
2611,20541
719,20076
2817,20047
3297,20034
358,20692
861,21050
3353,20918
606,20406
5892,20623
4431,20046
5765,20583
3607,21005
2479,20931
5034,21081
970,20985
2471,19654
5520,20390
1435,19462
5505,20233
944,20185
1462,21204
3074,20961
3328,21019
4611,19346
2693,19524
5555,20983
1894,19005
4682,19440
4091,20094
1852,21140
1773,19485
3785,19168
186,21003
4567,19687
774,20169
491,19976
3664,19144
5725,20999
5621,19062
2828,20792
1810,21262
1493,19923
5162,21244
2512,20076
3246,20354
286,20351
3943,19045
936,21065
98,20223
2556,20229
5141,20806
3798,20407
4428,21115
2373,19567
4473,20316
3297,20654
5041,20954
73,18920
3562,20350
1818,20494
2195,19515
514,19678
2093,19661
1206,19525
2312,19655
5928,19637
74,20491
3851,20535
643,19545
1707,19973
4884,20438
102,20744
885,18905
2677,19079
4797,20047
2007,19848
2350,19553
3153,19958
449,20209
1434,20775
3495,20887
3716,19143
5285,20921
1373,18933
1630,20942
